16 12
  0.25  0.75 -8.0305169
  0.25  0.9 -13.6597177
  0.25  1.05 -10.5742106  42.3653333
  0.25  1.11334 -7.62327191  24.2886197
  0.25  1.2 -2.4  12.2265217
  0.25  1.35  7.45910576  23.8807
  0.25  1.5  14.775  48.0638532
  0.25  1.65  17.8981548  54.7290328
  0.25  1.8  18.388  50.9980586
  0.25  1.95  17.5936743  41.9143576
  0.25  2.1  16.613  21.2357928
  0.25  2.25  16.5917675 -3.66836696
  0.5  0.75  32.9370414
  0.5  0.9  12.083499
  0.5  1.05  3.73362047
  0.5  1.11334  2.44413206
  0.5  1.2  4.59601423
  0.5  1.35  12.5128256
  0.5  1.5  17.204 -16.8997774
  0.5  1.65  20.5046946 -25.5751425
  0.5  1.8  21.59 -16.6861188
  0.5  1.95  20.8560395 -9.00076122
  0.5  2.1  19.367 -5.47640865
  0.5  2.25  17.7293948 -2.66375357
  0.75  0.75  65.4448714  98.3454684
  0.75  0.9  35.721  84.3467244
  0.75  1.05  22.4892185 -74.2564116
  0.75  1.11334  18.404172
  0.75  1.2  16.4130946
  0.75  1.35  16.115146
  0.75  1.5  15.0007977
  0.75  1.65  18.3698683
  0.75  1.8  19.1564323
  0.75  1.95  17.2107126  115.146444
  0.75  2.1  16.244 -14.0604809
  0.75  2.25  15.8320161 -11.0845253
  1.  0.75  69.9447562 -18.636342
  1.  0.9  44.7443809 -11.0894598
  1.  1.05  32.7537928  2.59272109
  1.  1.11334  29.2250329  11.1560929
  1.  1.2  25.036  24.6789055
  1.  1.35  19.1428623  36.5828066
  1.  1.5  15.1615435  26.5572524
  1.  1.65  17.1321031
  1.  1.8  16.4412036
  1.  1.95  14.3646776
  1.  2.1  13.725909
  1.  2.25  13.8450735
  1.25  0.75  59.3095951 -77.1329522
  1.25  0.9  38.134 -54.2264839
  1.25  1.05  29.1440469 -25.8174335
  1.25  1.11334  26.6675868 -21.0173356
  1.25  1.2  24.0235231 -15.6941582
  1.25  1.35  20.7351772 -12.4426562
  1.25  1.5  18.261 -5.24956473
  1.25  1.65  16.3559486 -1.49755793
  1.25  1.8  14.6584144  4.29321659
  1.25  1.95  13.358013  7.4167282
  1.25  2.1  12.9045998
  1.25  2.25  12.889107
  1.5  0.75  47.1155938 -27.7172804
  1.5  0.9  24.9053328 -26.936175
  1.5  1.05  17.5683653 -32.5113936
  1.5  1.11334  16.3703386 -37.1976076
  1.5  1.2  15.786 -43.8186437
  1.5  1.35  16.0477967 -36.7184779
  1.5  1.5  15.7098395 -16.4140307
  1.5  1.65  14.836283 -7.77465545
  1.5  1.8  13.969 -5.27769584
  1.5  1.95  13.3444412 -0.825875776
  1.5  2.1  12.8336614 -2.52288519
  1.5  2.25  12.5424054 -0.495873691
  1.75  0.75  41.350924 -21.6860638
  1.75  0.9  19.996 -17.6925932
  1.75  1.05  13.1963426 -12.4164821
  1.75  1.11334  11.9659759 -10.1057093
  1.75  1.2  11.0212232 -7.52757053
  1.75  1.35  10.452426 -5.25646539
  1.75  1.5  10.496 -6.90416078
  1.75  1.65  11.0259132 -13.3931319
  1.75  1.8  11.9153466 -15.7118863
  1.75  1.95  12.4189531 -7.42571223
  1.75  2.1  12.398 -2.40950496
  1.75  2.25  12.2398161 -0.394868653
  2.  0.75  36.2839951 -17.6806038
  2.  0.9  15.7006315 -16.2835813
  2.  1.05  9.96915728 -13.436342
  2.  1.11334  9.23486423 -11.9576576
  2.  1.2  8.953 -9.95902682
  2.  1.35  9.34190177 -6.01510349
  2.  1.5  9.94157691 -2.55642214
  2.  1.65  10.3940479  0.194328869
  2.  1.8  10.68  1.64322774
  2.  1.95  10.8664279  1.69068781
  2.  2.1  11.0959872 -1.194807
  2.  2.25  11.5315596 -5.12430802
  2.25  0.75  32.5071278 -12.3106224
  2.25  0.9  12.151 -12.0012464
  2.25  1.05  6.85491666 -11.0368585
  2.25  1.11334  6.35869213 -10.3514253
  2.25  1.2  6.4453962 -9.44120913
  2.25  1.35  7.53648471 -7.59558702
  2.25  1.5  8.836 -5.44023348
  2.25  1.65  9.90257068 -3.55251955
  2.25  1.8  10.6805089 -1.94921655
  2.25  1.95  11.2095664 -0.321817877
  2.25  2.1  11.5471483  1.02057968
  2.25  2.25  11.7352738  1.99007531
  2.5  0.75  29.9619839 -8.47259052
  2.5  0.9  9.6730414 -8.14891103
  2.5  1.05  4.55040471 -7.73316529
  2.5  1.11334  4.15356777 -7.29225983
  2.5  1.2  4.397 -6.98014108
  2.5  1.35  5.81463511 -5.98351679
  2.5  1.5  7.48953887 -5.0581895
  2.5  1.65  8.93118955 -3.85387638
  2.5  1.8  10.0306635 -2.80901879
  2.5  1.95  10.8374341 -2.05974295
  2.5  2.1  11.4241809 -1.33761863
  2.5  2.25  11.8484648 -0.717836715
  2.75  0.75  28.3289596 -4.3679597
  2.75  0.9  7.969 -5.16001076
  2.75  1.05  2.91297095 -5.39481973
  2.75  1.11334  2.57372441 -5.32400705
  2.75  1.2  2.90555784 -5.24959645
  2.75  1.35  4.50229686 -4.60810056
  2.75  1.5  6.383 -3.88690043
  2.75  1.65  8.05744825 -3.12745681
  2.75  1.8  9.3811455 -2.31658032
  2.75  1.95  10.3641804 -1.73681068
  2.75  2.1  11.0858712 -1.28002029
  2.75  2.25  11.615894 -0.952891747
  3.  0.75  27.4478078 -2.65826678
  3.  0.9  7.01405076 -2.85519143
  3.  1.05  1.93355202 -2.91490979
  3.  1.11334  1.59426233 -2.7477133
  3.  1.2  1.92964893 -2.6387814
  3.  1.35  3.54950857 -2.69019253
  3.  1.5  5.50783947 -2.75480388
  3.  1.65  7.31923791 -2.7221351
  3.  1.8  8.81791616 -2.22343992
  3.  1.95  9.96503759 -1.43745549
  3.  2.1  10.809217 -1.04406571
  3.  2.25  11.418926 -0.634104005
  3.25  0.75  26.9285246 -1.6443634
  3.25  0.9  6.44633769 -1.76941916
  3.25  1.05  1.36913134 -1.87674217
  3.25  1.11334  1.04950253 -1.65892675
  3.25  1.2  1.41820754 -1.65383731
  3.25  1.35  3.08616054 -1.30501512
  3.25  1.5  5.059 -1.17597587
  3.25  1.65  6.86855204 -0.962225415
  3.25  1.8  8.3810797 -0.782411209
  3.25  1.95  9.59116314 -1.06268406
  3.25  2.1  10.5356813 -0.982163038
  3.25  2.25  11.2483619 -0.729032775
  3.5  0.75  26.6148585 -0.743247605
  3.5  0.9  6.08996929 -1.12416917
  3.5  1.05  1.00078399 -1.19364641
  3.5  1.11334  0.692377533 -1.09221015
  3.5  1.2  1.09153832 -1.14558408
  3.5  1.35  2.81805503 -0.800327047
  3.5  1.5  4.84858098 -0.555998745
  3.5  1.65  6.71133418 -0.357069473
  3.5  1.8  8.27088137 -0.14402792
  3.5  1.95  9.50939071  0.105371768
  3.5  2.1  10.4618433  0.286727785
  3.5  2.25  11.1669085  0.402832222
  3.75  0.75  26.425606 -0.582748333
  3.75  0.9  5.86685359 -0.72975259
  3.75  1.05  0.762758264 -0.874226043
  3.75  1.11334  0.457930653 -0.776128475
